id,Nombre Comercial,Clasificación,Categoría,Dirección,Dirección Web
1,FAMA LA,FUENTE DE SODA,SEGUNDA,BOLIVAR 12-86 ,
2,COLONIAS LAS No.3,RESTAURANTE,TERCERA,AV. ESPAÑA Y AV. HURTADO DE MENDOZA,
3,QUINTA ELOISA,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,JOSE RAFAEL PEÑAHERRERA Y FERNANDO DE ARAGON ,
4,PINGUINO,FUENTE DE SODA,TERCERA,REMIGIO CRESPO 6 87,
5,VILLA VERDE RECEPCIONES Y EVENTOS,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,AV. DE LAS AMERICAS 9-263 Y MANUELA SAENZ ,
6,HOTEL CORDERO,HOTEL,3 Estrellas,BOLIVAR 6-50 BORRERO,
7,HOTEL PUERTO BALLESTA,HOTEL,2 Estrellas,CALLE A S/N BOULEVAR DEL MAR,www.puertoballesta.com
8,CONEJOS,RESTAURANTE,TERCERA,AV. ESPAÑA N.- 9-42 Y FRANCISCO PIZARRO,
9,EL CARMELO AVENTURA AGROTURISTICA,HOSTERÍA,3 Estrellas,via principal 1 SIN NOMBRE,
10,DEPARTAMENTO TOPACIO,CASA DE HUÉSPEDES,Categoría única,DEL ARUPO 1-05 ALISOS,
11,SUMAQ KAY,HOTEL,3 ESTRELLAS,Maquiavelo E6-157 y Av. Siena,www.sumaqkay.com
12,CAPPUCHINO,FUENTE DE SODA,PRIMERA, BOLIVAR 10-09 Y PADRE AGUIRRE,
13,CAFE TERTULIAS,CAFETERÍA,CUARTA,MARIANO CUEVA 4-91 Y HONORATO VASQUEZ,
14,GOLDEN BAMBOO FUSION ORIENTAL,RESTAURANTE,SEGUNDA,"AV. PEDRO MENENDEZ GILBERT 100, PUERTO SANTA ANA ED. RIVER FRONT 2, LOCAL 2",
15,STREET DOG'S,FUENTE DE SODA,TERCERA,"ELIA LIUT Y CALLE VIEJA, C.C. MIRAFLORES",
16,PEÑA NUESTRA AMERICA,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,PASACALLE S/N,
17,DIANITA,HOSTAL,1 Estrellas,QUITO S/N SIMÓN BOLIVAR,
18,PICHINCHA INTERNACIONAL,HOSTAL,1 Estrellas,JUAN MONTALVO 9-78 GRAN COLOMBIA,
19,LEO'S HOT DOG,FUENTE DE SODA,TERCERA,AV.12 DE ABRIL Y UNIDAD NACIONAL,
20,INCA REAL,HOTEL,3 Estrellas,GENERAL TORRES 8-40 SUCRE,www.hotelincareal.com.ec
21,FOS,RESTAURANTE,(1) Un tenedor,EL BATAN S/N AV 12 DE ABRIL,
22,MARIA NATIVIDAD EVENTOS,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,CAMINO A RAYOLOMA,
23,EL AMANECER,BAR,(1) Una copa,,
24,CENTRO DE RECREACIÓN TURÍSTICA FREDDY AYUY,TERMAS Y BALNEARIOS,SEGUNDA,"BARRIO LAS PALMERAS, A DOS CUADRAS DE LA ESCUELA FISCAL",
25,DON FRANCISCO EL SABOR ORIGINAL,RESTAURANTE,SEGUNDA / 3 TENEDORES,Imbabura N4-54 Y Mideros,
26,DOÑA MENESTRA N 2,RESTAURANTE,PRIMERA,AV DEL ESTADIO Y JOSE PERALTA,
27,SABOR LATINO,RESTAURANTE,TERCERA,TARQUI 9 30 Y BOLIVAR,
28,GUABOPAMBA,HOSTERÍA,TERCERA,SANTA ISABEL SECTOR GUABOPAMBA,
29,QUISQUEYA,RESTAURANTE,TERCERA,PADRE AGUIRRE N.- 6-22,
30,EUROPA,HOTEL,2 Estrellas,GASPAR SANGURIMA 2-55 TOMAS ORDOÑEZ,
31,GRAN MOLINA,HOTEL,2 Estrellas,AV SUCRE S-N LOS INCAS,www.hotelmolinagualaceo.com
32,CALAMAR,RESTAURANTE,TERCERA,GARCIA MORENO 6-50 Y GONZALES SUAREZ,
33,MI CLASSIC DISCOTEC,DISCOTECA,SEGUNDA,"CAÑARIS Y CLODOVEO CENTENO, ESQUINA",
34,AZUAY,RESTAURANTE,TERCERA,EL RAMAL,
35,CASA GRANDE ,SALA DE BAILE,SEGUNDA,TRATADO DE GIRON Y ESCUADRON CEDEÑO,
36,TRUQUITO DEL SABOR EL,CAFETERÍA,CUARTA,JUAN JARAMILLO 8-39 Y BENIGNO MALO,
37,GOLOSINAS DE BETTY,FUENTE DE SODA,TERCERA,CDLA. LA SAIBA MZ. Q VILLA 26,
38, FRESAW,HOSTAL,1 Estrellas,Av. Alberto Zambrano s/d Calle F,
39,CAFÉ PUMAPUNGO,RESTAURANTE,CUARTA,CALLE LARGA 1-164 Y JESUS DE ARRIEGA,
40,LUMINARIAS TURI,RESTAURANTE,SEGUNDA,TURI S/N (SECTOR IGUESIA),
41,ROSA VICTORIA,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,AV. CIRCUNVALACION SECTOR EL ESTADIO,
42,HELADERIA LOS ALPES,FUENTE DE SODA,PRIMERA,AV. GENERAL RUMUÑAHUI 255 Y SEXTA Y SEPTIMA TRANSVERSAL,
43,ALPES LOS,FUENTE DE SODA,SEGUNDA,AV. ILALO Y RIO PASTAZA,
44,HELADERÍA LOS ALPES,CAFETERÍA,LUJO / 2 TAZAS,RÍO Pastaza  S/n y Av. IlalÓ,
45,HELADERÍA LOS ALPES,CAFETERÍA,PRIMERA / 1 TAZA,Av.12 de Octubre  S/N  y Mariscal Foch,www.heladerialosalpes.com.ec
46,COMPLEJO TURISTICO EL REY DE AGUAS TERMALES,CENTRO DE RECREACIÓN TURÍSTICA,SEGUNDA,"NARANJAL, RECINTO AGUAS CALIENTES S/N",
47,PIEDRA DE AGUA,TERMAS Y BALNEARIOS,PRIMERA,"PASEO DE GUADALUPANA, SECTOR BAÑOS",
48,HOSTAL CORONEL,HOSTAL,3 Estrellas,Mariano Cueva 9-42 Bolivar,www.hotelcoronel.ec
49,HACIENDA SUIZA YOGURT Y PAN DE YUCA N 2,CAFETERÍA,(1) Una tazas,GONZALEZ SUAREZ S/N EMILIANO ZAPATA,
50,HACIENDA SUIZA YOGURT Y PAN DE YUCA N 3,CAFETERÍA,(1) Una tazas,REMIGIO CRESPO S/N DE LA CRUZ,
51,BAMBU,HOTEL,TERCERA,AV. LOS FUNDADORES Y GARCIA MORENO,
52,SELENA ANGELINA,RESTAURANTE,CUARTA,"BARRIO SUCRE, PARROQUIA BUENAVISTA",
53,JUGOS FIGUEROA HEREDIA,FUENTE DE SODA,TERCERA,IMBABURA N1-22 Y ROCAFUERTE,
54,JUGUERÍA FIGUEROA HEREDIA,RESTAURANTE,SEGUNDA / 3 TENEDORES,Imbabura N1-22 y Rocafuerte,
55,LA CASA DE LA GOLOSINA,CAFETERÍA,(1) Una tazas,LAS HERRERIAS 2-10 AV 12  DE ABRIL,
56,RINCON DEL RIO,HOSTAL,2 Estrellas,JUAN VINTIMILLA S/N SIN NOMBRE,
57,MORZUA,HOSTAL,2 Estrellas,AMAZONAS SN 29 DE MAYO,
58,INES MARIA,HOSTAL,3 Estrellas,GRAN COLOMBIA 12-64 JUAN MONTALVO,www.hostalinesmaria.com
59,SNOBIZ NO 2,FUENTE DE SODA,PRIMERA,MALL DEL RIO SHOPPIN CENTER,
60,PARADERO D TILAPIA,RESTAURANTE,CUARTA,"VIA MACAS - PUYO, KM 21",
61,PLAZA CENTRAL,HOTEL,2 Estrellas,Primero de Mayo s/n Av. Hualtaco,
62,HOTEL EL CONQUISTADOR,HOTEL,3 Estrellas,AUTOPISTA YAHUARCOCHA KM 9 CALLE PIÑAN,
63,CUADRA DE ROSITA LA ,RESTAURANTE,SEGUNDA,CRISTOBAL COLON Y AV. 12 DE OCTUBRE,
64,MOLINO HOSTEL,HOSTAL,1 Estrellas,EL MOLINO 2-04 LOS BALCONES,www.elmolinohostel.com
65,SOLANO,HOSTAL,SEGUNDA,CAMILO DESTUGE 1215 Y GUARANDA,
66,AGUA Y BAMBOO,HOSTERÍA,3 Estrellas,TRONCAL AMAZÓNICA S/N S/N,
67,LA COLMENA Y QUE,CAFETERÍA,(1) Una tazas,,
68,PACHACAMAC,HOSTAL,1 Estrellas,VIA PRINCIPAL S/N S/N,
69,COMPLEJO TURISTICO EL PEÑON DE CUSAY,HOSTERÍA,3 Estrellas,VIA A CUENCA S/N S/N,
70,SERES,RESTAURANTE,SEGUNDA,PRESIDENTE CORDOVA N°7-23 Y BORRERO,
71,LA POSADA DEL QUIJOTE,HOSTERÍA,3 Estrellas,MIGUEL DE CERVANTES S/N VIA A PICHANILLAS,
72,JR. CAMARÓN,RESTAURANTE,SEGUNDA / 3 TENEDORES,Av. 6 de Diciembre N21-19 y Jorge Washington,
73,BALCON QUITEÑO NO.1,RESTAURANTE,SEGUNDA,SANGURIMA 6-49,
74,HOSTERIA LUZCELINDA,HOSTERÍA,3 Estrellas,VIA A CUENCA S/N S/N,www.hosterialuzcelinda.com
75,TOKIO,HOSTAL,1 ESTRELLAS,Julio SAenz S6-502 Calle F,
76,TANQUEATE,FUENTE DE SODA,TERCERA,PANAMERICANA SUR KM 8.5,
77,PANTANAL EL ,TERMAS Y BALNEARIOS,SEGUNDA,LAS AMERICAS KM 1 VIA SANTA MARTHA ,
78,CREMOLATO,FUENTE DE SODA,SEGUNDA,AV DE LAS AMERICAS 6-178,
79,FONTANA HELADERIA No 6,FUENTE DE SODA,PRIMERA,C.C. SAN LUIS SHOPPING - SAN RAFAEL,
80,FONTANA HELADERIA NO 2,FUENTE DE SODA,TERCERA,AV. GENERAL ENRIQUEZ C.C.PLAZA DEL VALLE L.B-14,
81,FONTANA HELADERIA (QUITUMBE),FUENTE DE SODA,PRIMERA,AV. QUITUMBE ÑAN Y AV. MORAN VALVERDE,
82,FONTANA HELADERIA NO 5,FUENTE DE SODA,PRIMERA,C.C.EL RECREO LOCAL 16,
83,Y RESTAURANTE ''MANABI'',HOSTAL,1 Estrellas,13 DE JUNIO S/N JULIAN ALVARADO,
84,MOLINOS DEL BATAN LOS,RESTAURANTE,PRIMERA,AV.12 DE ABRIL Y EL BATAN,
85,HOSTERIA ESTANCIA EL ANGEL,HOSTERÍA,3 Estrellas,Recta Carmen de Bullcay S/N S/N,www.estanciaelangel.com
86,RIONE,HOTEL,4 Estrellas,LUIS MORENO MORA ESQUINA EDUARDO MALO,www.rionehotel.com
87,BRASA EL RINCON DEL BUEN SABOR LA,FUENTE DE SODA,TERCERA,DAVILA CHICA Y VICENTE PEÑA,
88,RANCHO GRANDE,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,"EL QUINCHE, RICAURTE JUNTO AL COLEGIO DE LAS CATALINAS",www.ranchogrande.com.ec
89,QUINTA MERCEDES,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,"AV. PUEBLO DE LOS QUITUS Y CALLE SIN NOMBRE, CHALLUABAMBA",
90,ESTANCIO BLANCA,RESTAURANTE,SEGUNDA,SANGURIMA Y MANUEL VEGA,
91,LAS CABAÑAS,RESTAURANTE,(1) Un tenedor,AV ORDOÑEZ LAZO KM 5 S/N S/N,
92,PACHAMAMA LODGE,HOSTAL,1 Estrellas,CALLE LARGA 2-38 MANUEL VEGA,
93,HOSTAL VILLA DEL ROSARIO,HOSTAL,2 Estrellas,HONORATO VASQUEZ 5-25 MARIANO CUEVA,
94,DON GUEVARA,RESTAURANTE,TERCERA,KM 21 VIA A MOLLETURO,
95,CISNE EL ,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,LEOPOLDO DAVILA Y AV. DE LAS AMERICAS,
96,RINCON CUENCANO EL,RESTAURANTE,TERCERA,SOASTI ENTRE CUENCA Y 5 DE AGOSTO,
97,ASADERO RESTAURANT GALPON CRIOLLO,RESTAURANTE,(1) Un tenedor,AV. La República S/N Guayas y 9 de de octubre,www.galponcriollo.com
98,PALMAS LAS,RESTAURANTE,CUARTA,VIA A GUARUMALES MENDEZ,
99,CACTUS CAFÉ,CAFETERÍA,(1) Una tazas,GUAYANAY 1-26 PACHACAMAC,
100,BUNGALOWS ,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,SUCRE 16-62 Y MIGUEL VELEZ,
101,CHOZA LA,RESTAURANTE,TERCERA,TERMINAL TERRESTRE EL CHORRO Y SEBASTIAN DE BENALCAZAR,
102,RESTAURANTE MI ESCONDITE,RESTAURANTE,(1) Un tenedor,JULIA BERNAL 3-18 JAIME ROLDOS,www.restaurantesmiescondite.com
103,NICE CREAM,FUENTE DE SODA,TERCERA,TARQUI Y AMAZONAS,
104,MUU YOGURT N1,FUENTE DE SODA,PRIMERA,BENIGNO MALO Y JUAN JARAMILLO,
105,PECAN BISTRO THE,RESTAURANTE,SEGUNDA,"CDLA. LA GARZOTA, MZ. 29, SL. 12",
106,LA ORQUIDEA LIMONENSE,HOSTAL,1 Estrellas,AV. 12 DE DICIEMBRE S/N 5 DE JUNIO,
107,PAREDES,HOSTAL,1 Estrellas,bartolome serrrano  1-17 simon bolivar ,www.hostalparedes.com
108,HOSPEDAJE LOS CABALLEROS,HOSTAL,1 Estrellas,SANTIAGO LAFEBRE 2264 FRANCISCO DE ORELLANA,
109,MAXIS YOGURT,FUENTE DE SODA,TERCERA,COLON 712 Y LEONIDAS PLAZA,
110,Q' PAPA FRENCH FRIES,FUENTE DE SODA,TERCERA,AV. 12 DE ABRIL Y AV. LOJA,
111,HOSTAL SAN DIEGO,HOSTAL,2 Estrellas,AV. DE LAS AMERICAS 13-00 MARISCAL LAMAR,
112,MILETO,HOTEL,2 Estrellas,Eduardo Aspiazu (Avda 6ta) S/N Lupercio Bazan (Calle 23),www.hotelmileto.com
113,HOTEL LA CASONA VERGEL,HOTEL,3 Estrellas,MIGUEL CORDERO 2-124 ALFONSO CORDERO,www.lacasonahotel.com.ec
114,CASA DEL RIO,HOSTAL,SEGUNDA,BAJA DEL PADRON 4-07 Y CALLE LARGA,
115,SAGITARIO,RESTAURANTE,TERCERA,AV. DE LAS AMERICAS Y 12 DE ABRIL,
116,DON RAUL,RESTAURANTE,CUARTA,AV. DE LAS AMERICAS Y AV. DON BOSCO,
117,HOSTAL PRIMAVERA,HOSTAL,1 Estrellas,Av. Ricardo Durán S-N Alfonso Carrión,
118,HAMILTON,HOSTAL,1 Estrellas,MIGUEL HEREDIA 3-07 VEGA MUÑOZ,
119,SHANTA'S RESTAURANT,RESTAURANTE,(1) Un tenedor,AV. LOJA SN SN,
120,VILLA SAN MARCOS,HOTEL,2 Estrellas,VEGA MUÑOZ 7-45 LUIS CORDERO,
121,LAS VEGAS,BAR,PRIMERA / 3 COPAS,MARISCAL FOCH E7-72 y DIEGO DE ALMAGRO,
122,EL MONASTERIO,CAFETERÍA,(1) Una tazas,PRESIDENTE CORDOVA 6-45 BORRERO,
123,EL FOGON DE GIRON,RESTAURANTE,(1) Un tenedor,LUCIANO VALLEJO S/N GARCIA MORENO,
124,ROYAL CLUB,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,AV. 10 DE AGOSTO Y A. CUEVA,
125,LA CASA DE MARIO,CASA DE HUÉSPEDES,Categoría única,PASAJE SOJOS 1-17 FRANCISCA SOJOS,
126,INTERNACIONAL,HOTEL,2 Estrellas,calle cuenca SN Garcia moreno,www.hotelinternacionalgualaquiza.com
127,SOFIA PRINCIPAL,RESTAURANTE,TERCERA,ESTEVEZ DE TORAL N.- 11-90 Y SANGURIMA,
128,PALMEIRAS,RESTAURANTE,SEGUNDA,AV. 29 Y CIRCUNVALACION Y AV. FLAVIO REYES,
129,RINCON DE ESPAÑA,RESTAURANTE,TERCERA,AV. ESPAÑA 17-97,
130,HOSTAL LA PAZ,HOSTAL,1 Estrellas,AV ESPANA 502 BARCELONA,
131,HOTEL COLONIAL,HOTEL,2 Estrellas,GRAN COLOMBIA 10-13 PADRE AGUIRRE,www.hostalcolonial.com
132,HOSTAL CHONTA DORADA,HOSTAL,1 Estrellas,PIO JARAMILLO ALVARADO S/N Y DIEGO DE VACA,
133,CASTILLO REAL EL,SALA DE RECEPCIONES Y BANQUETES,PRIMERA,LAMAR 11-51,
134,PRADERA LA ,RESTAURANTE,CUARTA,VIA AL CAJAS SECTOR DOS CHORRERAS,
135,RESTAURANTE EL ALCATRAZ,RESTAURANTE,TERCERA,RICAURTE SECTOR 4 ESQUINAS,
136,TOMEBAMBA,HOTEL,3 Estrellas,SIMÓN BOLÍVAR 11-19 GENERAL TORRES,''
137,GENESIS,RESTAURANTE,TERCERA,LAMAR 10-26,
138,GREEN SPOT,CASA DE HUÉSPEDES,Categoría única,AV. ORDOÑEZ LASSO S/N JOSE RODRIGUEZ PARRA,www.greenspotecuador.com
139,QUINTA CARMITA,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,SECTOR SAN MIGUEL SAYAUSI,
140,CINEMA CAFE,CAFETERÍA,(2) Dos tazas,LUIS CORDERO 7-42 PRESIDENTE CORDOVA,
141,MERCEDITAS,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,VIA A NULTI A 300M ESCUELA BALAREZO,
142,DOÑA CHARITO,RESTAURANTE,PRIMERA,REMIGIO CRESPO 7-79,
143,CENTRO SAMAI,HOSTERÍA,3 Estrellas,PRINCIPAL S/N SUBIENDO AL CERRO ,
144,HOSTAL PELEUSI,HOSTAL,1 Estrellas,SERRANO 3-22 MATOVELLE,
145,PARRILLADAS LA FRAGUA,RESTAURANTE,TERCERA,LUIS MORENO MORA 4-42 Y CORNELIO MERCHAN,
146,BOCADELLA,FUENTE DE SODA,TERCERA,AV. FRANCISCO MOSCOSO Y 27 DE FEBRERO,
147,FRUTILADOS,CAFETERÍA,SEGUNDA,AV REMIGIO CRESPO 4-53 Y RICARDO MUÑOZ,
148,FRUTILADOS,FUENTE DE SODA,PRIMERA,ELIA LIUT Y CALLE VIEJA,
149,QUINUA LA ,RESTAURANTE,TERCERA,BENIGNO MALO 12-75 Y VEGA MUÑOZ,
150,HOTEL LOS BALCONES,HOTEL,4 Estrellas,Borrero  12-08 Sangurima,www.hotellosbalconescuenca.com
151,MAYU,RESTAURANTE,(2) Dos tenedores,BENGNO MALO SN SIMON BOLIVAR,
152,PIZZERIA LITTLE ITALY,CAFETERÍA,TERCERA,REMIGIO TAMARIZ S/N Y ALFONSO BORRERO,
153,EL MESON ESPAÑOL TAPAS RESTAURANT,RESTAURANTE,(1) Un tenedor,antonio borrero 7-51 sucre,
154,MARVENTO II,HOTEL,3 Estrellas,Digno Nuñez 1 Av. General Enriquez,www.hotelmarvento.com
155,ALO PICA,RESTAURANTE,TERCERA,CARLOS JULIO AROSEMENA Y AV. ORIENTAL,
156,EL MARQUES DEL COCA,HOTEL,3 Estrellas,NAPO 76-02 JUAN MONTALVO,www.elmarquezhotelcoca.com
157,PORTAL DE FATIMA,SALA DE BAILE,PRIMERA,VIA A RAKAR SECTOR FATIMA,
158,PALMERAS LAS ,RESTAURANTE,TERCERA,CARLOS ARIZAGA VEGA (SECTOR SAN JOAQUIN),
159,MORAS CAFE,CAFETERÍA,SEGUNDA,"HONORATO,LOYOLA 1-152 Y AGUSTIN CUEVA",
160,VC GOURMET COMIDA RAPIDA,RESTAURANTE,(1) Un tenedor,av de las americas s/n juan pio montufar,
161,ALQUIMIA,RESTAURANTE,TERCERA,HONORATO VASQUEZ S/N Y BORRERO,
162,AMUNTAI RAINFOREST LODGE,LODGE,4 Estrellas,AVENIDA RIO AMUNDALO SIN NUMERO POSADA DEL GENERAL ,www.amuntailodge.com
163,GALAPAGOS DREAMS,HOSTAL,3 Estrellas,CALLE CUCUVE 324 CALLE FLOREANA,
164,CASMO,RESTAURANTE,TERCERA,SANTIAGO CARRASCO 1-10 Y PASAJE,
165,BAMU GRIL,RESTAURANTE,TERCERA,VIA GIRON PASAJE,
166,DOG'S,CAFETERÍA,(1) Una taza,FELIPE II SN CIRCUNVALACION SUR,
167,BELLO HORIZONTE,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,ANTIGUA SUBIDA A TURI Y AV 24 DE MAYO,
168,EL INCA,HOSTAL,1 Estrellas,AV. UNIVERSITARIA 08-24 10 DE AGOSTO Y 18 DE NOVIEMBRE,
169,YOGURTH N.1,FUENTE DE SODA,TERCERA,BENIGNO MALO  6-16,
170,COOPERATIVA LOJA,RESTAURANTE,CUARTA,PANAMERICANA SUR  ,
171,BRASA LA ,RESTAURANTE,SEGUNDA,ROBERTO CRESPO Y EDUARDO ARIAS,
172,GAUCHO EL ,RESTAURANTE,TERCERA,AV. GONZALES SUAREZ 4-18,
173,GEORDANOS,HOTEL,3 Estrellas,MARISCAL LAMAR 8-27 BENIGNO MALO,
174,KANIBALES,RESTAURANTE,(1) Un tenedor,SUCRE S/N MANUEL VEGA,www.restaurantekanibales.com
175,MOTIVOS HOTEL,HOTEL,2 Estrellas,AVENIDA 37 S/N CALLE 8,
176,PIO PIO,RESTAURANTE,CUARTA,VÍA PUERTO INCA-CUENCA S/N SECTOR EL TAMARINDO,
177,HOTEL SIENA,HOTEL,2 Estrellas,HERMANO MIGUEL  5-84 JUAN JARAMILLO,
178,SIERRA VERDE,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,VIA A PAUTE SECTOR EL CABO,
179,TARQUI HOTEL & SUITES,HOTEL,3 Estrellas,TARQUI 9-69 GRAN COLOMBIA,
180,HELADOS THOMAS Y ALGO MAS,FUENTE DE SODA,TERCERA,CALLE UNIDAD NACIONAL S/N Y CALLE A,
181,MANABITA,RESTAURANTE,CUARTA,ADOLFO CORRAL Y TOMAS RODIL,
182,PANORAMA,RESTAURANTE,TERCERA,25 DE AGOSTO 15-21,
183,ALLI TIANA,HOTEL,PRIMERA,PTE. CORDOVA Y PADRE AGUIRRE,
184,BED & BREAKFAST CASA MONTALVO,HOSTAL,1 Estrellas,JUAN MONTALVO 8-33 BOLIVAR Y SUCRE,www.casamontalvo.com
185,EL ARRIERO,RESTAURANTE,(1) Un tenedor,LATINOAMERICANA  1-50 CUBA,
186,FRESA Y CEBADA COFFEE PUB,RESTAURANTE,TERCERA,CALLE DOMINGO COMIN Y SOASTI,
187,ESQUINA DEL YOGURT LA,CAFETERÍA,CUARTA,CALLE SIN NOMBRE Y MIRADOR TURI,
188,BATIDOS DE RAFA,FUENTE DE SODA,TERCERA,SAN MARTIN 1203 Y GUARANDA,
189,CASA DE HUESPEDES SAN SEBASTIAN,CASA DE HUÉSPEDES,Categoría única,SIMON BOLIVAR 13-93 ESTEVEZ DE TORAL,
190,GRAN JOSE EL ,RESTAURANTE,CUARTA,VIA A CUENCA,
191,CASA DE LAS ROSAS,HOSTAL,3 Estrellas,Manuel Vega  12-57 Sangurima,www.casadelasrosas.biz
192,PALMAS LAS ,BAR,TERCERA,RAFAEL GALARZA,
193,LOS KANIBALES,RESTAURANTE,(1) Un tenedor,AV MAX UHLE  2-78 CAMILO EGAS,www.kanibales.com
194,HORNADO AL PASO,RESTAURANTE,TERCERA,ARIZAGA Y 25 DE JUNIO,
195,LA FINCA CASA DE HUESPEDES,CASA DE HUÉSPEDES,Categoría única,VIA A NARIG S/N SUBIDA A TASQUI BAJO,www.posadalafinca.com
196,EMPERADOR,RESTAURANTE,TERCERA,SANGURIMA Y MANUEL VEGA,
197,SAN RAPHAEL,HOSTAL,1 Estrellas,Teniente Hugo Ortiz s/d Juan de Velasco,
198,PECHUGON EL ,RESTAURANTE,TERCERA,BOLIVAR Y MIGUEL HEREDIA,
199,HOTEL PEGASUS,HOTEL,3 Estrellas,Luis Cordero 5-48 Honorato Vasquez,
200,TULLPA LA ,RESTAURANTE,TERCERA,SANGURIMA 8-44,
201,SANTANA,RESTAURANTE,TERCERA,HONORATO VAZQUES 7-72,
202,LA GAVIOTA AZUL,HOSTAL,2 Estrellas,CALLEJON SUCRE 111 MALECON,
203,TUTUPALI HACIENDA TURISTICA,HACIENDA TURÍSTICA,3 Estrellas,RODEO S/N S/N,
204,AZUAY,HOSTAL,1 Estrellas,BALZAR S/N LAS FLORES,
205,CAMPING SAGEO EL ,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,SAN FRANCISCO DE SAGEO KM.3,
206,JUANES LOS ,HOSTERÍA,SEGUNDA,AMPARITO TAMARIZ,
207,PADRINO EL,RESTAURANTE,TERCERA,AV. 12 DE ABRIL Y LOJA,
208,HOSTAL FUEGO,HOSTAL,1 Estrellas,jose joaquin de olmedo 2-62 Vicente rocafuerte,
209,1900 NIGHT LIFE,DISCOTECA,(1) Una copa,AV. 12 DE ABRIL 11-05 CORNELIO MERCHÁN,
210,GAVIOTA APARTMENTS & SUITES,HOTEL,2 Estrellas,LUIS MORENO MORA 6-108 AV. SOLANO,www.gaviotaapartmentssuites.com
211,BARRANCO EL,RESTAURANTE,TERCERA,LUIS CORDERO N1-37 Y GENERAL ENRIQUEZ,
212,OLIVOS GARDEN LOS,SALA DE BAILE,SEGUNDA,HURTADO DE MENDOZA S/N Y CORDILLERA,
213,ENSUEÑOS,HOTEL,3 Estrellas,GRAN COLOMBIA 1-82 MANUEL VEGA,www.hotelensuenos.com
214,DRAGON EL,RESTAURANTE,TERCERA,TRES DE NOVIEMBRE Y ABELARDO J ANDRADE,
215,PRANZO,RESTAURANTE,TERCERA,"AV. FRANCISCO DE ORELLANA, KM 4.5 C.C. LA GRAN MANZANA LOCAL 94",
216,PORTAL EL,RESTAURANTE,TERCERA,VIA A SAN JOAQUIN,
217,HOSTAL EL MIRLO,HOSTAL,2 ESTRELLAS,Francisco Ballesteros OE2-598 y Av. Teniente Hugo Ortiz,
218,MORITAS CAFÉ Y SNACK,FUENTE DE SODA,TERCERA,HERMANO MIGUEL 4-36 Y CALLE LARGA,
219,HOSTAL CHORDELEG,HOSTAL,1 Estrellas,GRAN COLOMBIA 11-15 GENERAL TORRES,www.hostalchordeleg.com
220,CASA DE HUESPEDES M.B.C. ,CASA DE HUÉSPEDES,Categoría única,Galápagos 172 Y Av. Loja,
221,MONTE BIANCO SUCURSAL 7,CAFETERÍA,(1) Una tazas,SOLANO SN MATOVELLE,
222,MONTE BIANCO,CAFETERÍA,(1) Una taza,Solano sn Matovelle,
223,PICANTES DE LEO,RESTAURANTE,(1) Un tenedor,LUIS CORDERO 9.32 BOLIVAR,
224,AVENTURI,RESTAURANTE,(1) Un tenedor,AV DEL MIRADOR S/N TURI CENTRO,
225,PEDREGAL EL,RESTAURANTE,CUARTA,EL PEDREGAL Y GIL RAMIREZ DAVALOS,
226,PUERTO CAÑAVERAL,RESTAURANTE,TERCERA / 2 TENEDORES,Isla Floreana E7-31 e Isla Fernandina,
227,KABCAFE,CAFETERÍA,TERCERA,FRANCISCO DE ORELLANA Y FRAY VICENTE SOLANO,
228,JULY Y SAME,RESTAURANTE,CUARTA,MAPASINGUE ESTE AVDA. 1ERA #1002,
229,HOTEL SANTA MONICA,HOTEL,3 Estrellas,SUCRE  680 BORRERO,www.hotelsantamonicaecuador.com
230,A PEDIR DE BOCA,RESTAURANTE,SEGUNDA,BENIGNO MALO 5-54 Y CALLE LARGA ,
231,ROKA PLAZA HOTEL BOUTIQUE,HOTEL,2 Estrellas,Bolivar S/N Guayaquil,
232,RINCON DEL SABOR,RESTAURANTE,TERCERA,AV RICARDO DURAN Y ALFONSO CARRION,
233,RESTAURANTE RINCON DEL SABOR,RESTAURANTE,(1) Un tenedor,AV. RICARDO DURAN  S/N CALLE ALFONSO CARRIÓN HEREDIA,
234,MAGNOLIA CAFFE,CAFETERÍA,SEGUNDA,AV. 3 DE NOVIEMBRE 1-48 Y C. TALBOT,
235,DIEGUITO,RESTAURANTE,TERCERA,20 DE ENERO E ISIDRO RODRIGUEZ,
236,ASADOS Y ALGO MAS,RESTAURANTE,CUARTA,AV. GIRON PASAJE,
